Epoch,gpu_mem,GIoU,obj,cls,total,targets,img_size,P,R,mAP@0.5,F1,Val GIoU,Val objectness,Val classification,model,n_images
128/299,10.4G,1.48,2.78,0.265,4.53,168,352,0.583,0.838,0.762,0.687,1.8,2.48,0.492,YOLO v3,250
129/299,10.4G,1.37,1.97,0.174,3.51,167,480,0.6,0.827,0.759,0.694,1.71,2.46,0.469,YOLO v3,250
130/299,10.4G,1.35,2,0.139,3.49,146,480,0.599,0.836,0.757,0.695,1.69,2.5,0.488,YOLO v3,250
131/299,10.4G,1.32,1.9,0.153,3.37,106,512,0.602,0.842,0.773,0.702,1.71,2.48,0.463,YOLO v3,250
132/299,10.4G,1.38,1.93,0.166,3.47,155,448,0.591,0.831,0.761,0.691,1.73,2.41,0.394,YOLO v3,250
133/299,10.4G,1.38,2.22,0.19,3.79,154,512,0.627,0.814,0.752,0.708,1.74,2.46,0.457,YOLO v3,250
134/299,10.4G,1.34,1.93,0.168,3.44,128,608,0.591,0.846,0.751,0.694,1.67,2.44,0.614,YOLO v3,250
135/299,10.4G,1.38,1.93,0.2,3.51,106,320,0.632,0.815,0.745,0.711,1.72,2.53,0.458,YOLO v3,250
136/299,10.4G,1.33,2.04,0.17,3.55,150,320,0.602,0.83,0.757,0.698,1.73,2.5,0.473,YOLO v3,250
137/299,10.4G,1.37,2.09,0.187,3.65,150,384,0.569,0.857,0.757,0.683,1.69,2.44,0.52,YOLO v3,250
138/299,10.4G,1.34,1.94,0.161,3.44,132,384,0.626,0.82,0.753,0.71,1.71,2.49,0.435,YOLO v3,250
139/299,10.4G,1.33,2.21,0.141,3.69,167,448,0.6,0.84,0.756,0.698,1.66,2.49,0.379,YOLO v3,250
140/299,10.4G,1.3,1.85,0.144,3.29,136,512,0.65,0.822,0.766,0.726,1.66,2.56,0.418,YOLO v3,250
141/299,10.4G,1.31,1.76,0.157,3.23,152,352,0.636,0.803,0.752,0.708,1.68,2.55,0.575,YOLO v3,250
142/299,10.4G,1.32,1.88,0.157,3.36,142,640,0.63,0.808,0.756,0.708,1.7,2.57,0.434,YOLO v3,250
143/299,10.4G,1.35,2.26,0.163,3.77,117,480,0.641,0.821,0.74,0.72,1.67,2.57,0.467,YOLO v3,250
144/299,10.4G,1.26,1.76,0.129,3.15,156,576,0.633,0.828,0.758,0.717,1.66,2.5,0.462,YOLO v3,250
145/299,10.4G,1.31,1.91,0.13,3.35,147,416,0.658,0.829,0.776,0.733,1.69,2.5,0.42,YOLO v3,250
146/299,10.4G,1.3,2,0.137,3.44,150,512,0.608,0.842,0.77,0.705,1.65,2.48,0.394,YOLO v3,250
147/299,10.4G,1.3,1.89,0.143,3.33,152,352,0.631,0.816,0.76,0.71,1.67,2.48,0.462,YOLO v3,250
148/299,10.4G,1.23,1.73,0.131,3.1,152,384,0.647,0.805,0.752,0.715,1.68,2.59,0.522,YOLO v3,250
149/299,10.4G,1.3,1.94,0.214,3.46,108,352,0.626,0.769,0.718,0.68,1.71,2.57,0.873,YOLO v3,250
150/299,10.4G,1.3,2.23,0.213,3.74,172,384,0.624,0.83,0.767,0.711,1.69,2.53,0.428,YOLO v3,250
151/299,10.4G,1.33,1.93,0.169,3.43,125,576,0.579,0.85,0.746,0.686,1.7,2.46,0.497,YOLO v3,250
152/299,10.4G,1.31,2.2,0.172,3.69,108,544,0.598,0.801,0.719,0.684,1.69,2.57,0.527,YOLO v3,250
153/299,10.4G,1.26,1.92,0.15,3.33,126,384,0.639,0.799,0.749,0.709,1.72,2.63,0.399,YOLO v3,250
154/299,10.4G,1.25,1.89,0.146,3.29,138,480,0.629,0.815,0.763,0.709,1.66,2.61,0.394,YOLO v3,250
155/299,10.4G,1.24,1.67,0.149,3.06,122,448,0.655,0.798,0.762,0.716,1.68,2.58,0.41,YOLO v3,250
156/299,10.4G,1.23,2.07,0.136,3.44,147,352,0.662,0.779,0.751,0.713,1.68,2.66,0.441,YOLO v3,250
157/299,10.4G,1.24,1.53,0.142,2.91,105,576,0.635,0.809,0.763,0.711,1.67,2.56,0.509,YOLO v3,250
158/299,10.4G,1.26,1.92,0.142,3.32,109,512,0.634,0.793,0.745,0.702,1.67,2.58,0.66,YOLO v3,250
159/299,10.4G,1.25,2.17,0.173,3.59,119,480,0.65,0.812,0.75,0.721,1.71,2.63,0.553,YOLO v3,250
160/299,10.4G,1.28,2.37,0.125,3.78,122,352,0.661,0.78,0.734,0.715,1.75,2.78,0.524,YOLO v3,250
161/299,10.4G,1.23,1.92,0.139,3.29,145,512,0.648,0.809,0.749,0.719,1.73,2.63,0.525,YOLO v3,250
162/299,10.4G,1.27,2.06,0.128,3.46,145,480,0.642,0.804,0.745,0.71,1.69,2.59,0.572,YOLO v3,250
163/299,10.4G,1.24,1.86,0.14,3.24,146,448,0.662,0.805,0.763,0.726,1.67,2.63,0.402,YOLO v3,250
164/299,10.4G,1.23,1.85,0.145,3.22,166,576,0.643,0.81,0.76,0.717,1.7,2.65,0.384,YOLO v3,250
165/299,10.4G,1.22,1.85,0.143,3.21,174,576,0.669,0.781,0.745,0.719,1.71,2.73,0.452,YOLO v3,250
166/299,10.4G,1.17,1.79,0.126,3.08,149,480,0.636,0.815,0.75,0.714,1.69,2.65,0.409,YOLO v3,250
167/299,10.4G,1.2,1.86,0.137,3.19,173,448,0.614,0.819,0.75,0.702,1.67,2.62,0.45,YOLO v3,250
168/299,10.4G,1.19,1.58,0.102,2.87,152,640,0.631,0.793,0.752,0.703,1.66,2.7,0.485,YOLO v3,250
169/299,10.4G,1.26,2.14,0.11,3.51,159,480,0.639,0.782,0.743,0.703,1.7,2.72,0.602,YOLO v3,250
170/299,10.4G,1.17,1.74,0.116,3.03,140,480,0.651,0.771,0.736,0.704,1.7,2.77,0.648,YOLO v3,250
171/299,10.4G,1.18,1.54,0.095,2.82,200,640,0.649,0.786,0.735,0.71,1.72,2.73,0.599,YOLO v3,250
172/299,10.4G,1.19,1.57,0.179,2.94,133,576,0.633,0.805,0.739,0.707,1.72,2.71,0.434,YOLO v3,250
173/299,10.4G,1.25,2.02,0.167,3.44,151,640,0.629,0.801,0.738,0.705,1.73,2.75,0.513,YOLO v3,250
174/299,10.4G,1.19,1.61,0.143,2.94,163,480,0.597,0.825,0.746,0.692,1.68,2.64,0.448,YOLO v3,250
175/299,10.4G,1.18,1.74,0.14,3.06,126,352,0.633,0.796,0.739,0.702,1.67,2.72,0.492,YOLO v3,250
176/299,10.4G,1.17,1.99,0.146,3.31,179,608,0.639,0.777,0.741,0.699,1.7,2.8,0.513,YOLO v3,250
177/299,10.4G,1.18,1.68,0.0864,2.95,106,448,0.618,0.805,0.753,0.699,1.67,2.7,0.51,YOLO v3,250
178/299,10.4G,1.15,1.71,0.117,2.97,117,448,0.643,0.806,0.756,0.715,1.68,2.7,0.503,YOLO v3,250
179/299,10.4G,1.2,2.06,0.0982,3.35,128,352,0.651,0.786,0.739,0.711,1.69,2.8,0.533,YOLO v3,250
180/299,10.4G,1.12,1.74,0.0953,2.96,156,320,0.65,0.774,0.742,0.706,1.69,2.82,0.487,YOLO v3,250
181/299,10.4G,1.14,1.59,0.106,2.83,131,512,0.655,0.799,0.761,0.719,1.67,2.74,0.427,YOLO v3,250
182/299,10.4G,1.21,2.2,0.112,3.53,118,640,0.658,0.804,0.757,0.724,1.7,2.77,0.416,YOLO v3,250
183/299,10.4G,1.11,1.53,0.0997,2.75,141,576,0.686,0.796,0.762,0.737,1.68,2.77,0.455,YOLO v3,250
184/299,10.4G,1.17,1.98,0.118,3.27,133,480,0.666,0.77,0.746,0.713,1.67,2.83,0.571,YOLO v3,250
185/299,10.4G,1.15,1.87,0.0969,3.12,154,384,0.667,0.795,0.756,0.724,1.68,2.83,0.504,YOLO v3,250
186/299,10.4G,1.14,1.8,0.103,3.05,136,416,0.656,0.819,0.758,0.728,1.71,2.74,0.507,YOLO v3,250
187/299,10.4G,1.08,1.65,0.0842,2.81,124,384,0.644,0.828,0.753,0.724,1.72,2.71,0.492,YOLO v3,250
188/299,10.4G,1.15,1.92,0.134,3.2,173,320,0.673,0.794,0.76,0.728,1.71,2.77,0.561,YOLO v3,250
189/299,10.4G,1.13,1.8,0.111,3.04,160,576,0.634,0.822,0.765,0.715,1.69,2.68,0.504,YOLO v3,250
190/299,10.4G,1.11,1.68,0.106,2.9,120,640,0.64,0.82,0.76,0.718,1.67,2.7,0.565,YOLO v3,250
191/299,10.4G,1.13,1.87,0.108,3.11,141,640,0.686,0.794,0.762,0.736,1.68,2.75,0.551,YOLO v3,250
192/299,10.4G,1.12,1.84,0.111,3.07,147,416,0.697,0.793,0.769,0.741,1.71,2.75,0.571,YOLO v3,250
193/299,10.4G,1.11,1.76,0.107,2.97,168,416,0.657,0.834,0.775,0.734,1.67,2.62,0.522,YOLO v3,250
194/299,10.4G,1.12,2.02,0.11,3.25,113,576,0.652,0.84,0.768,0.734,1.66,2.68,0.471,YOLO v3,250
195/299,10.4G,1.07,1.66,0.1,2.84,156,384,0.639,0.839,0.768,0.725,1.69,2.67,0.439,YOLO v3,250
196/299,10.4G,1.04,1.77,0.107,2.91,141,320,0.66,0.809,0.758,0.726,1.68,2.78,0.476,YOLO v3,250
197/299,10.4G,1.08,1.77,0.0722,2.92,136,576,0.668,0.804,0.752,0.729,1.66,2.81,0.532,YOLO v3,250
198/299,10.4G,1.08,1.75,0.126,2.96,138,576,0.664,0.813,0.754,0.731,1.68,2.8,0.507,YOLO v3,250
199/299,10.4G,1.1,1.96,0.132,3.19,97,544,0.677,0.804,0.756,0.735,1.68,2.79,0.514,YOLO v3,250
200/299,10.4G,1.08,1.66,0.0918,2.83,131,320,0.674,0.783,0.75,0.724,1.68,2.83,0.433,YOLO v3,250
201/299,10.4G,1.08,1.67,0.0979,2.85,120,448,0.67,0.781,0.746,0.721,1.69,2.9,0.428,YOLO v3,250
202/299,10.4G,1.07,1.73,0.0947,2.89,154,320,0.67,0.793,0.755,0.725,1.7,2.8,0.391,YOLO v3,250
203/299,10.4G,1,1.49,0.0567,2.55,138,480,0.667,0.802,0.754,0.728,1.68,2.8,0.414,YOLO v3,250
204/299,10.4G,1.06,1.31,0.0644,2.44,147,416,0.668,0.786,0.743,0.722,1.69,2.84,0.433,YOLO v3,250
205/299,10.4G,1.03,1.42,0.0805,2.53,146,640,0.658,0.803,0.745,0.722,1.67,2.8,0.496,YOLO v3,250
206/299,10.4G,1.05,1.56,0.109,2.72,124,352,0.671,0.804,0.757,0.732,1.69,2.81,0.435,YOLO v3,250
207/299,10.4G,1.07,1.94,0.0945,3.1,186,480,0.676,0.805,0.765,0.734,1.68,2.81,0.469,YOLO v3,250
208/299,10.4G,1.11,1.82,0.107,3.04,147,544,0.664,0.808,0.761,0.729,1.71,2.79,0.461,YOLO v3,250
209/299,10.4G,1.06,1.8,0.102,2.96,139,448,0.66,0.819,0.758,0.73,1.72,2.79,0.446,YOLO v3,250
210/299,10.4G,1.05,1.58,0.0801,2.71,113,576,0.675,0.814,0.752,0.738,1.7,2.82,0.426,YOLO v3,250
211/299,10.4G,1.08,1.59,0.11,2.78,90,640,0.676,0.81,0.763,0.737,1.68,2.78,0.386,YOLO v3,250
212/299,10.4G,1.07,1.63,0.0991,2.8,154,384,0.688,0.802,0.768,0.741,1.67,2.81,0.417,YOLO v3,250
213/299,10.4G,1.04,1.47,0.0623,2.57,123,384,0.681,0.8,0.763,0.736,1.66,2.81,0.441,YOLO v3,250
214/299,10.4G,1.01,1.4,0.0802,2.49,143,384,0.667,0.816,0.767,0.734,1.65,2.78,0.458,YOLO v3,250
215/299,10.4G,1.06,1.57,0.0659,2.7,149,512,0.661,0.817,0.766,0.731,1.68,2.76,0.499,YOLO v3,250
216/299,10.4G,1.06,1.88,0.0781,3.02,136,384,0.662,0.803,0.756,0.725,1.68,2.82,0.463,YOLO v3,250
217/299,10.4G,1.03,1.57,0.0755,2.68,151,608,0.65,0.797,0.752,0.716,1.66,2.8,0.436,YOLO v3,250
218/299,10.4G,1.02,1.78,0.0716,2.87,147,512,0.658,0.803,0.757,0.723,1.67,2.78,0.45,YOLO v3,250
219/299,10.4G,1.03,1.67,0.0773,2.77,139,352,0.673,0.81,0.768,0.735,1.66,2.75,0.471,YOLO v3,250
220/299,10.4G,1.05,1.6,0.0809,2.73,170,352,0.674,0.813,0.771,0.737,1.65,2.79,0.481,YOLO v3,250
221/299,10.4G,1.03,1.84,0.0942,2.97,148,384,0.673,0.795,0.761,0.729,1.69,2.84,0.484,YOLO v3,250
222/299,10.4G,0.991,1.53,0.0573,2.58,140,576,0.682,0.794,0.765,0.733,1.67,2.81,0.462,YOLO v3,250
223/299,10.4G,0.977,1.38,0.0737,2.43,132,576,0.675,0.807,0.77,0.735,1.68,2.76,0.464,YOLO v3,250
224/299,10.4G,0.998,1.83,0.0771,2.9,157,512,0.693,0.79,0.765,0.738,1.71,2.82,0.484,YOLO v3,250
225/299,10.4G,1.01,1.41,0.0857,2.51,149,544,0.672,0.798,0.764,0.73,1.68,2.78,0.463,YOLO v3,250
226/299,10.4G,0.981,1.39,0.076,2.45,187,480,0.673,0.821,0.77,0.74,1.64,2.79,0.495,YOLO v3,250
227/299,10.4G,1.01,1.62,0.076,2.71,138,416,0.689,0.805,0.763,0.742,1.67,2.8,0.534,YOLO v3,250
228/299,10.4G,1.01,1.8,0.0659,2.87,133,448,0.695,0.789,0.762,0.739,1.7,2.83,0.516,YOLO v3,250
229/299,10.4G,0.989,1.37,0.0807,2.43,138,384,0.701,0.77,0.757,0.733,1.69,2.84,0.494,YOLO v3,250
230/299,10.4G,1,1.52,0.069,2.59,129,544,0.68,0.79,0.756,0.731,1.68,2.81,0.494,YOLO v3,250
231/299,10.4G,0.946,1.25,0.0575,2.25,189,640,0.666,0.803,0.761,0.728,1.68,2.78,0.446,YOLO v3,250
232/299,10.4G,0.948,1.5,0.0654,2.51,167,576,0.68,0.803,0.763,0.736,1.67,2.78,0.438,YOLO v3,250
233/299,10.4G,0.947,1.38,0.0639,2.39,148,384,0.678,0.807,0.765,0.737,1.68,2.76,0.442,YOLO v3,250
234/299,10.4G,0.935,1.47,0.0594,2.47,120,608,0.677,0.8,0.764,0.733,1.67,2.81,0.46,YOLO v3,250
235/299,10.4G,0.943,1.45,0.0582,2.45,167,512,0.688,0.795,0.76,0.737,1.68,2.86,0.429,YOLO v3,250
236/299,10.4G,0.982,1.64,0.069,2.69,122,448,0.691,0.784,0.756,0.734,1.69,2.87,0.438,YOLO v3,250
237/299,10.4G,0.983,1.58,0.0979,2.66,173,608,0.704,0.784,0.757,0.742,1.7,2.95,0.465,YOLO v3,250
238/299,10.4G,0.943,1.47,0.0789,2.49,154,352,0.69,0.796,0.759,0.739,1.68,2.9,0.475,YOLO v3,250
239/299,10.4G,1.02,1.73,0.087,2.83,171,320,0.685,0.797,0.759,0.736,1.67,2.85,0.471,YOLO v3,250
240/299,10.4G,0.948,1.48,0.0721,2.5,148,384,0.684,0.775,0.752,0.725,1.7,2.87,0.473,YOLO v3,250
241/299,10.4G,0.937,1.57,0.079,2.59,160,448,0.682,0.769,0.747,0.723,1.7,2.92,0.519,YOLO v3,250
242/299,10.4G,0.96,1.54,0.0674,2.57,135,544,0.687,0.788,0.755,0.734,1.69,2.88,0.515,YOLO v3,250
243/299,10.4G,0.942,1.6,0.0673,2.61,148,608,0.681,0.784,0.754,0.729,1.69,2.88,0.51,YOLO v3,250
244/299,10.4G,0.962,1.54,0.0685,2.57,190,384,0.68,0.8,0.755,0.735,1.68,2.88,0.499,YOLO v3,250
245/299,10.4G,0.951,1.35,0.0666,2.37,143,480,0.683,0.794,0.765,0.735,1.68,2.86,0.475,YOLO v3,250
246/299,10.4G,0.931,1.45,0.0572,2.44,155,512,0.697,0.789,0.759,0.74,1.7,2.9,0.474,YOLO v3,250
247/299,10.4G,0.923,1.43,0.0591,2.41,174,416,0.707,0.779,0.758,0.741,1.71,2.91,0.482,YOLO v3,250
248/299,10.4G,0.916,1.48,0.0519,2.45,155,384,0.7,0.787,0.755,0.74,1.72,2.92,0.512,YOLO v3,250
249/299,10.4G,0.944,1.4,0.0543,2.4,145,416,0.696,0.799,0.765,0.744,1.71,2.88,0.453,YOLO v3,250
250/299,10.4G,0.916,1.39,0.0649,2.37,147,384,0.705,0.791,0.762,0.746,1.7,2.89,0.487,YOLO v3,250
251/299,10.4G,0.927,1.56,0.0639,2.55,148,576,0.705,0.79,0.756,0.745,1.72,2.93,0.487,YOLO v3,250
252/299,10.4G,0.903,1.49,0.0625,2.46,130,576,0.699,0.774,0.755,0.734,1.72,2.95,0.519,YOLO v3,250
253/299,10.4G,0.915,1.09,0.067,2.07,143,608,0.699,0.782,0.762,0.738,1.7,2.9,0.496,YOLO v3,250
254/299,10.4G,0.944,1.58,0.0538,2.58,119,320,0.7,0.778,0.759,0.737,1.72,2.93,0.523,YOLO v3,250
255/299,10.4G,0.895,1.4,0.0534,2.34,115,640,0.696,0.777,0.758,0.734,1.71,2.92,0.512,YOLO v3,250
256/299,10.4G,0.92,1.44,0.0501,2.41,157,384,0.715,0.771,0.76,0.741,1.73,2.93,0.497,YOLO v3,250
257/299,10.4G,0.946,1.5,0.0694,2.51,119,352,0.703,0.766,0.757,0.733,1.72,2.96,0.529,YOLO v3,250
258/299,10.4G,0.905,1.33,0.0937,2.33,121,512,0.689,0.76,0.747,0.72,1.74,2.98,0.7,YOLO v3,250
259/299,10.4G,0.942,1.51,0.0451,2.49,152,608,0.682,0.763,0.745,0.719,1.74,2.96,0.726,YOLO v3,250
260/299,10.4G,0.899,1.47,0.0739,2.44,141,544,0.678,0.771,0.745,0.721,1.73,2.95,0.715,YOLO v3,250
261/299,10.4G,0.94,1.47,0.064,2.47,151,352,0.689,0.772,0.746,0.728,1.72,2.97,0.69,YOLO v3,250
262/299,10.4G,0.924,1.59,0.0569,2.57,151,448,0.699,0.767,0.752,0.73,1.71,2.98,0.695,YOLO v3,250
263/299,10.4G,0.903,1.33,0.0435,2.28,141,640,0.69,0.773,0.755,0.728,1.71,2.95,0.621,YOLO v3,250
264/299,10.4G,0.938,1.46,0.0532,2.45,175,384,0.69,0.783,0.759,0.733,1.72,2.94,0.628,YOLO v3,250
265/299,10.4G,0.919,1.53,0.0587,2.51,150,320,0.694,0.785,0.76,0.736,1.72,2.94,0.631,YOLO v3,250
266/299,10.4G,0.916,1.54,0.0568,2.51,121,640,0.694,0.784,0.755,0.736,1.72,2.95,0.683,YOLO v3,250
267/299,10.4G,0.906,1.58,0.0769,2.57,123,448,0.692,0.784,0.754,0.735,1.72,2.96,0.664,YOLO v3,250
268/299,10.4G,0.869,1.31,0.0645,2.24,165,352,0.693,0.791,0.762,0.738,1.71,2.93,0.604,YOLO v3,250
269/299,10.4G,0.896,1.36,0.0586,2.32,124,544,0.687,0.795,0.763,0.737,1.71,2.93,0.588,YOLO v3,250
270/299,10.4G,0.914,1.32,0.0432,2.27,113,608,0.684,0.794,0.766,0.735,1.71,2.9,0.567,YOLO v3,250
271/299,10.4G,0.892,1.49,0.0559,2.44,133,448,0.686,0.789,0.761,0.733,1.72,2.93,0.567,YOLO v3,250
272/299,10.4G,0.919,1.48,0.0698,2.47,144,640,0.682,0.779,0.754,0.727,1.73,2.98,0.58,YOLO v3,250
273/299,10.4G,0.926,1.48,0.0449,2.45,137,416,0.689,0.775,0.75,0.729,1.74,3.03,0.591,YOLO v3,250
274/299,10.4G,0.855,1.27,0.0501,2.18,150,352,0.695,0.773,0.755,0.732,1.73,3.01,0.597,YOLO v3,250
275/299,10.4G,0.913,1.45,0.0523,2.41,189,640,0.701,0.772,0.755,0.734,1.73,2.99,0.581,YOLO v3,250
276/299,10.4G,0.911,1.48,0.0574,2.45,115,640,0.691,0.78,0.756,0.732,1.72,2.98,0.563,YOLO v3,250
277/299,10.4G,0.888,1.58,0.0437,2.51,140,480,0.696,0.775,0.752,0.733,1.73,2.99,0.577,YOLO v3,250
278/299,10.4G,0.904,1.54,0.0531,2.5,122,480,0.699,0.775,0.756,0.735,1.71,2.99,0.556,YOLO v3,250
279/299,10.4G,0.891,1.53,0.041,2.46,134,320,0.693,0.768,0.752,0.728,1.72,3.02,0.569,YOLO v3,250
280/299,10.4G,0.899,1.5,0.0424,2.44,157,320,0.695,0.76,0.75,0.725,1.74,3.03,0.572,YOLO v3,250
281/299,10.4G,0.929,1.65,0.0539,2.63,149,512,0.699,0.769,0.752,0.732,1.74,3.03,0.591,YOLO v3,250
282/299,10.4G,0.876,1.3,0.0348,2.21,122,512,0.692,0.782,0.758,0.734,1.71,2.94,0.541,YOLO v3,250
283/299,10.4G,0.841,1.2,0.0461,2.09,130,448,0.679,0.79,0.76,0.73,1.71,2.92,0.52,YOLO v3,250
284/299,10.4G,0.875,1.37,0.0681,2.31,137,416,0.681,0.778,0.754,0.726,1.72,2.97,0.511,YOLO v3,250
285/299,10.4G,0.898,1.54,0.0555,2.49,154,320,0.693,0.774,0.753,0.731,1.73,2.99,0.482,YOLO v3,250
286/299,10.4G,0.866,1.4,0.0492,2.32,150,640,0.688,0.767,0.751,0.725,1.75,3.01,0.501,YOLO v3,250
287/299,10.4G,0.875,1.37,0.0377,2.28,157,576,0.692,0.769,0.752,0.728,1.75,3.01,0.493,YOLO v3,250
288/299,10.4G,0.895,1.51,0.0534,2.46,195,352,0.695,0.766,0.748,0.728,1.75,3.04,0.491,YOLO v3,250
289/299,10.4G,0.847,1.16,0.0454,2.05,139,576,0.691,0.772,0.752,0.729,1.74,3.02,0.469,YOLO v3,250
290/299,10.4G,0.891,1.25,0.0368,2.18,157,608,0.695,0.778,0.758,0.733,1.73,3,0.471,YOLO v3,250
291/299,10.4G,0.888,1.29,0.0751,2.25,145,320,0.69,0.781,0.758,0.732,1.72,2.98,0.486,YOLO v3,250
292/299,10.4G,0.877,1.43,0.055,2.36,110,480,0.692,0.776,0.756,0.731,1.72,3.02,0.511,YOLO v3,250
293/299,10.4G,0.918,1.73,0.0537,2.71,148,320,0.697,0.768,0.751,0.73,1.75,3.06,0.548,YOLO v3,250
294/299,10.4G,0.856,1.2,0.0502,2.1,142,320,0.695,0.779,0.755,0.734,1.74,3.02,0.511,YOLO v3,250
295/299,10.4G,0.907,1.54,0.0544,2.5,124,320,0.698,0.759,0.752,0.727,1.74,3.05,0.514,YOLO v3,250
296/299,10.4G,0.886,1.44,0.0432,2.36,123,576,0.702,0.77,0.754,0.734,1.74,3.03,0.503,YOLO v3,250
297/299,10.4G,0.921,1.77,0.0456,2.74,110,320,0.704,0.764,0.749,0.732,1.75,3.06,0.538,YOLO v3,250
298/299,10.4G,0.942,1.72,0.0723,2.74,189,320,0.697,0.765,0.75,0.729,1.75,3.04,0.558,YOLO v3,250
299/299,10.4G,0.908,1.57,0.0401,2.52,162,512,0.701,0.761,0.751,0.729,1.75,3.05,0.571,YOLO v3,250
